ano,mes,porto,tonelagem_t,n_atracacoes
2019,10,Itaituba,673555,187
2019,10,Manaus,406517,7881
2019,10,Santarém,536210,630
2019,11,Itacoatiara,505759,290
2019,11,Itaituba,427799,101
2019,11,Manaus,353776,8061
2019,11,Santarém,356899,500
2019,12,Itacoatiara,516893,282
2019,12,Itaituba,119841,11
2019,12,Manaus,343706,7951
2019,12,Santarém,183488,424
2020,1,Itacoatiara,338817,200
2020,1,Itaituba,275156,74
2020,1,Manaus,323311,5959
2020,1,Santarém,323072,422
2020,2,Itacoatiara,635580,335
2020,2,Itaituba,758391,171
2020,2,Manaus,329239,6196
2020,2,Santarém,651742,545
2020,3,Itacoatiara,709682,377
2020,3,Itaituba,1002474,225
2020,3,Manaus,339902,7072
2020,3,Santarém,763445,562
2020,4,Itacoatiara,681251,372
2020,4,Itaituba,1082847,257
2020,4,Manaus,253480,4595
2020,4,Santarém,659190,410
2020,5,Itacoatiara,781248,408
2020,5,Itaituba,1042315,240
2020,5,Manaus,265947,5449
2020,5,Santarém,711858,443
2020,6,Itacoatiara,729697,375
2020,6,Itaituba,1055179,226
2020,6,Manaus,353840,7497
2020,6,Santarém,788934,483
2020,7,Itacoatiara,693135,371
2020,7,Itaituba,1235236,302
2020,7,Manaus,378893,9173
2020,7,Santarém,826119,533
2020,8,Itacoatiara,581612,368
2020,8,Itaituba,1147236,259
2020,8,Manaus,413490,10019
2020,8,Santarém,676214,512
2020,9,Itacoatiara,364314,243
2020,9,Itaituba,708290,184
2020,9,Manaus,422522,9885
2020,9,Santarém,708859,514
2020,10,Itacoatiara,369393,250
2020,10,Itaituba,586983,190
2020,10,Manaus,454451,9988
2020,10,Santarém,401000,479
2020,11,Itacoatiara,315957,216
2020,11,Itaituba,515168,109
2020,11,Manaus,435132,9993
2020,11,Santarém,552606,547
2020,12,Itacoatiara,521062,302
2020,12,Itaituba,286822,55
2020,12,Manaus,445192,10484
2020,12,Santarém,497892,483
2021,1,Itacoatiara,367260,202
2021,1,Itaituba,256275,33
2021,1,Manaus,380002,7533
2021,1,Santarém,248981,384
2021,2,Itacoatiara,545659,297
2021,2,Itaituba,1144919,274
2021,2,Manaus,323996,7751
2021,2,Santarém,583036,440
2021,3,Itacoatiara,740252,388
2021,3,Itaituba,1115801,286
2021,3,Manaus,393841,9211
2021,3,Santarém,699852,500
2021,4,Itacoatiara,689370,369
2021,4,Itaituba,1039519,238
2021,4,Manaus,370909,8722
2021,4,Santarém,768780,523
2021,5,Itacoatiara,692138,360
2021,5,Itaituba,1083243,274
2021,5,Manaus,373840,9157
2021,5,Santarém,611275,479
2021,6,Itacoatiara,727910,386
2021,6,Itaituba,702682,208
2021,6,Manaus,413187,9037
2021,6,Santarém,588730,492
2021,7,Itacoatiara,667065,340
2021,7,Itaituba,945811,219
2021,7,Manaus,450212,9571
2021,7,Santarém,500806,468
2021,8,Itacoatiara,521608,321
2021,8,Itaituba,639106,155
2021,8,Manaus,419313,9255
2021,8,Santarém,286200,410
2021,9,Itacoatiara,356537,269
2021,9,Itaituba,303993,78
2021,9,Manaus,373575,8309
2021,9,Santarém,264312,388
2021,10,Itacoatiara,359800,255
2021,10,Itaituba,284385,89
2021,10,Manaus,420681,9054
2021,10,Santarém,302280,431
2021,11,Itacoatiara,385232,239
2021,11,Itaituba,589690,118
2021,11,Manaus,538922,9755
2021,11,Santarém,270667,392
2021,12,Itacoatiara,540233,292
2021,12,Itaituba,508039,150
2021,12,Manaus,448072,9250
2021,12,Santarém,360793,424
2022,1,Itacoatiara,485388,261
2022,1,Itaituba,719797,242
2022,1,Manaus,322367,7467
2022,1,Santarém,330824,434
2022,2,Itacoatiara,640696,345
2022,2,Itaituba,1121478,332
2022,2,Manaus,363300,7158
2022,2,Santarém,633490,532
2022,3,Itacoatiara,610208,323
2022,3,Itaituba,1241773,308
2022,3,Manaus,423288,6916
2022,3,Santarém,721108,597
2022,4,Itacoatiara,709765,373
2022,4,Itaituba,1085971,283
2022,4,Manaus,372398,7547
2022,4,Santarém,589885,535
2022,5,Itacoatiara,749661,395
2022,5,Itaituba,1309165,268
2022,5,Manaus,456933,8371
2022,5,Santarém,336867,356
2022,6,Itacoatiara,627469,319
2022,6,Itaituba,1251591,362
2022,6,Manaus,368182,8203
2022,6,Santarém,584038,443
2022,7,Itacoatiara,625763,349
2022,7,Itaituba,1581577,445
2022,7,Manaus,301045,7758
2022,7,Santarém,779762,512
2022,8,Itacoatiara,627932,330
2022,8,Itaituba,1335268,352
2022,8,Manaus,316046,8305
2022,8,Santarém,677246,487
2022,9,Itacoatiara,422196,259
2022,9,Itaituba,1225134,339
2022,9,Manaus,434243,8827
2022,9,Santarém,415698,385
2022,10,Itacoatiara,376432,261
2022,10,Itaituba,973851,333
2022,10,Manaus,427417,8790
2022,10,Santarém,575476,487
2022,11,Itacoatiara,425629,260
2022,11,Itaituba,877273,269
2022,11,Manaus,378720,9478
2022,11,Santarém,505611,466
2022,12,Itacoatiara,499320,279
2022,12,Itaituba,1090972,323
2022,12,Manaus,352957,9154
2022,12,Santarém,605291,460
2023,1,Itacoatiara,483119,251
2023,1,Itaituba,872142,279
2023,1,Manaus,361054,7462
2023,1,Santarém,489573,346
2023,2,Itacoatiara,677445,362
2023,2,Itaituba,1432129,392
2023,2,Manaus,268384,7046
2023,2,Santarém,709885,476
2023,3,Itacoatiara,831746,430
2023,3,Itaituba,1519965,433
2023,3,Manaus,307834,7826
2023,3,Santarém,786536,514
2023,4,Itacoatiara,846634,432
2023,4,Itaituba,1427618,417
2023,4,Manaus,259294,6617
2023,4,Santarém,812495,468
2023,5,Itacoatiara,894272,451
2023,5,Itaituba,1686701,470
2023,5,Manaus,354620,7459
2023,5,Santarém,747203,455
2023,6,Itacoatiara,878967,445
2023,6,Itaituba,1577892,479
2023,6,Manaus,410502,7332
2023,6,Santarém,810883,488
2023,7,Itacoatiara,830489,430
2023,7,Itaituba,1829620,559
2023,7,Manaus,557232,7562
2023,7,Santarém,952302,544
2023,8,Itacoatiara,812545,437
2023,8,Itaituba,1663560,518
2023,8,Manaus,655869,7241
2023,8,Santarém,801270,459
2023,9,Itacoatiara,584225,386
2023,9,Itaituba,1380188,464
2023,9,Manaus,563632,7913
2023,9,Santarém,300003,262
2023,10,Itacoatiara,226772,173
2023,10,Itaituba,590019,336
2023,10,Manaus,768819,9455
2023,10,Santarém,356465,350
2023,11,Itacoatiara,189906,147
2023,11,Itaituba,352946,268
2023,11,Manaus,634724,11162
2023,11,Santarém,99852,186
2023,12,Itacoatiara,495056,265
2023,12,Itaituba,989920,414
2023,12,Manaus,554704,10846
2023,12,Santarém,660753,479
2024,1,Itacoatiara,671212,354
2024,1,Itaituba,1091877,321
2024,1,Manaus,633825,9106
2024,1,Santarém,790087,514
2024,2,Itacoatiara,917870,466
2024,2,Itaituba,993352,447
2024,2,Manaus,455233,8196
2024,2,Santarém,748127,477
2024,3,Itacoatiara,920240,457
2024,3,Itaituba,1365820,632
2024,3,Manaus,600057,8560
2024,3,Santarém,746686,462
2024,4,Itacoatiara,965897,456
2024,4,Itaituba,1356365,626
2024,4,Manaus,466688,8484
2024,4,Santarém,785374,474
2024,5,Itacoatiara,946825,465
2024,5,Itaituba,1490278,696
2024,5,Manaus,365994,8488
2024,5,Santarém,736909,470
2024,6,Itacoatiara,801655,416
2024,6,Itaituba,1504835,677
2024,6,Manaus,422716,9052
2024,6,Santarém,800867,498
2024,7,Itacoatiara,973328,515
2024,7,Itaituba,1662595,744
2024,7,Manaus,984823,14339
2024,7,Santarém,1029994,608
2024,8,Itacoatiara,556039,358
2024,8,Itaituba,1639788,734
2024,8,Manaus,518094,11594
2024,8,Santarém,832042,544
2024,9,Itacoatiara,270353,176
2024,9,Itaituba,833251,540
2024,9,Manaus,659746,19610
2024,9,Santarém,649546,511
2024,10,Itacoatiara,241642,145
2024,10,Itaituba,250671,265
2024,10,Manaus,737229,22068
2024,10,Santarém,325265,398
2024,11,Itacoatiara,289997,184
2024,11,Itaituba,285912,240
2024,11,Manaus,617098,20833
2024,11,Santarém,515644,486
2024,12,Itacoatiara,571383,309
2024,12,Itaituba,420196,240
2024,12,Manaus,492414,14877
2024,12,Santarém,329234,348
2025,1,Itacoatiara,482970,252
2025,1,Itaituba,438819,229
2025,1,Manaus,518131,14538
2025,1,Santarém,347287,345
2025,2,Itacoatiara,900470,445
2025,2,Itaituba,1727799,762
2025,2,Manaus,534267,12455
2025,2,Santarém,730491,463
2025,3,Itacoatiara,1176385,588
2025,3,Itaituba,1211745,587
2025,3,Manaus,549439,14420
2025,3,Santarém,955133,529
2025,4,Itacoatiara,1084555,536
2025,4,Itaituba,1283456,594
2025,4,Manaus,558733,17518
2025,4,Santarém,770014,480
2025,5,Itacoatiara,1292892,636
2025,5,Itaituba,1212953,540
2025,5,Manaus,521676,16171
2025,5,Santarém,722658,467
2025,6,Itacoatiara,1046171,497
2025,6,Itaituba,1443421,639
2025,6,Manaus,532954,12271
2025,6,Santarém,647521,401
2025,7,Itacoatiara,1037579,515
2025,7,Itaituba,1702072,731
2025,7,Manaus,515797,15809
2025,7,Santarém,993066,563
2025,8,Itacoatiara,896565,465
2025,8,Itaituba,1685121,733
2025,8,Manaus,573752,13360
2025,8,Santarém,858104,495
2025,9,Itacoatiara,561687,358
2025,9,Itaituba,1571760,682
2025,9,Manaus,577652,13107
2025,9,Santarém,739450,459
2025,10,Itacoatiara,438196,305
2025,10,Itaituba,1129140,540
2025,10,Manaus,580800,14603
2025,10,Santarém,713923,497
2025,11,Itacoatiara,557126,333
2025,11,Itaituba,1164428,577
2025,11,Manaus,451376,11071
2025,11,Santarém,633476,475
2025,12,Itacoatiara,637691,332
2025,12,Itaituba,1039008,511
2025,12,Manaus,447277,13403
2025,12,Santarém,681063,476
