data,vazao_m3s
2023-10-03,11556.6
2023-10-04,11460.7
2023-10-05,11327.3
2023-10-06,11194.9
2023-10-07,11082.3
2023-10-08,10951.8
2023-10-09,10840.8
2023-10-10,10712.3
2023-10-11,10602.9
2023-10-12,10476.3
2023-10-13,10386.4
2023-10-14,10243.7
2023-10-15,10102.4
2023-10-16,10032.2
2023-10-17,9910.11
2023-10-18,9754.64
2023-10-19,9634.84
2023-10-20,9465.42
2023-10-21,9381.46
2023-10-22,9297.99
2023-10-23,9264.75
2023-10-24,9215.02
2023-10-25,9215.02
2023-10-26,9264.75
2023-10-27,9297.99
2023-10-28,9364.72
2023-10-29,9431.77
2023-10-30,9532.95
2023-10-31,9634.84
2023-11-01,9720.31
2023-11-02,9789.04
2023-11-03,9840.81
2023-11-04,9875.42
2023-11-05,9875.42
2023-11-06,9875.42
2023-11-07,9858.1
2023-11-08,9823.53
2023-11-09,9720.31
2023-11-10,9617.81
2023-11-11,9499.14
2023-11-12,9364.72
2023-11-13,9248.15
2023-11-14,9149.01
2023-11-15,9050.57
2023-11-16,8985.34
2023-11-17,8969.08
2023-11-18,9001.62
2023-11-19,9034.23
2023-11-20,9116.12
2023-11-21,9248.15
2023-11-22,9381.46
2023-11-23,9549.88
2023-11-24,9720.31
2023-11-25,9910.11
2023-11-26,10032.2
2023-11-27,10084.8
2023-11-28,10102.4
2023-11-29,10102.4
2023-11-30,10067.2
2023-12-01,10049.7
2023-12-02,10120
2023-12-03,10261.5
2023-12-04,10297.1
2023-12-05,10350.6
2023-12-06,10422.3
2023-12-07,10476.3
2023-12-08,10566.6
2023-12-09,10639.3
2023-12-10,10639.3
2023-12-11,10639.3
2023-12-12,10621.1
2023-12-13,10584.8
2023-12-14,10530.4
2023-12-15,10548.5
2023-12-16,10602.9
2023-12-17,10675.8
2023-12-18,10785.6
2023-12-19,10896.2
2023-12-20,11044.9
2023-12-21,11232.6
2023-12-22,11422.5
2023-12-23,11614.5
2023-12-24,11886.8
2023-12-25,12044.3
2023-12-26,12223.2
2023-12-27,12383.7
