data,vazao_m3s
2017-08-13,23137.8
2017-08-14,22784.6
2017-08-15,22384.4
2017-08-16,21889.3
2017-08-17,21497.5
2017-08-18,21109.3
2017-08-19,20677
2017-08-20,20296.7
2017-08-21,20060.9
2017-08-22,19826.5
2017-08-23,19547.2
2017-08-24,19178
2017-08-25,18812.5
2017-08-26,18360.7
2017-08-27,17870.4
2017-08-28,17474.5
2017-08-29,17300
2017-08-30,17083.1
2017-08-31,16739.2
2017-09-01,16653.8
2017-09-02,16739.2
2017-09-03,16910.7
2017-09-04,17083.1
2017-09-05,17213.1
2017-09-06,17213.1
2017-09-07,17083.1
2017-09-08,17040
2017-09-09,16824.8
2017-09-10,16526.1
2017-09-11,16272.3
2017-09-12,16062.3
2017-09-13,15770.7
2017-09-14,15523.1
2017-09-15,15236.7
2017-09-16,14781.7
2017-09-17,14360.4
2017-09-18,13774.7
2017-09-19,13276.7
2017-09-20,13029.1
2017-09-21,12987.9
2017-09-22,12987.9
2017-09-23,13070.3
2017-09-24,13152.8
2017-09-25,13152.8
2017-09-26,13194.1
2017-09-27,13194.1
2017-09-28,13194.1
2017-09-29,13194.1
2017-09-30,13235.4
2017-10-01,13400.9
2017-10-02,13566.8
2017-10-03,13774.7
2017-10-04,14025.1
2017-10-05,14234.5
2017-10-06,14528.6
2017-10-07,14697.3
2017-10-08,14908.6
2017-10-09,15114.8
2017-10-10,15359.1
2017-10-11,15688
2017-10-12,15895.3
2017-10-13,16104.2
2017-10-14,16104.2
2017-10-15,16146.1
2017-10-16,16188.1
2017-10-17,16356.6
2017-10-18,16568.6
2017-10-19,16611.2
2017-10-20,16696.5
2017-10-21,16653.8
2017-10-22,16526.1
2017-10-23,16272.3
2017-10-24,16104.2
2017-10-25,15895.3
2017-10-26,15770.7
2017-10-27,15729.3
2017-10-28,15770.7
2017-10-29,15770.7
2017-10-30,15729.3
2017-10-31,15688
2017-11-01,15646.6
2017-11-02,15646.6
2017-11-03,15564.2
2017-11-04,15359.1
2017-11-05,15277.4
2017-11-06,15277.4
2017-11-07,15236.7
2017-11-08,15114.8
2017-11-09,14951
2017-11-10,14781.7
2017-11-11,14486.5
2017-11-12,14150.7
2017-11-13,13858.1
2017-11-14,13608.3
2017-11-15,13608.3
2017-11-16,13566.8
2017-11-17,13608.3
2017-11-18,13649.9
2017-11-19,13649.9
2017-11-20,13525.3
2017-11-21,13359.5
2017-11-22,13152.8
2017-11-23,12782.5
2017-11-24,12373.5
2017-11-25,11765.3
2017-11-26,11323.2
2017-11-27,11003.9
2017-11-28,10805.3
2017-11-29,10686.4
2017-11-30,10370.9
2017-12-01,9940.21
2017-12-02,9668.09
2017-12-03,9397.51
2017-12-04,9128.51
2017-12-05,8785.01
2017-12-06,8557.5
2017-12-07,8481.94
2017-12-08,8368.85
2017-12-09,8256.07
2017-12-10,8218.55
2017-12-11,8256.07
2017-12-12,8406.51
2017-12-13,8557.5
2017-12-14,8671.1
2017-12-15,8709.04
2017-12-16,8709.04
